task_id,task_name,predecessor,optimistic,most_likely,pessimistic,PERT_Expected,PERT_Variance,PERT_StdDev,Early_Start,Early_Finish,Late_Start,Late_Finish,Total_Float,Is_Critical
T1,Home,,5,10,15,10.0,2.8,1.7,,,,,,
T2,Card States,T1,5,10,15,10.0,2.8,1.7,,,,,,
T3,Installation States,T2,4,6,8,6.0,0.4,0.7,,,,,,
T4,Suggestion + Get most from us,,5,4,5,4.3,0.0,0.0,,,,,,
T5,Discovery,T1,5,10,15,10.0,2.8,1.7,,,,,,
T6,Checkout,T5,5,10,20,10.8,6.3,2.5,,,,,,
T7,Data,T6,5,8,12,8.2,1.4,1.2,,,,,,
T8,Profile,T7,4,6,10,6.3,1.0,1.0,,,,,,
T9,Concepts Design,,5,10,13,9.7,1.8,1.3,,,,,,
T10,Research Planning,T9,5,10,15,10.0,2.8,1.7,,,,,,
T11,Research,T10,8,15,20,14.7,4.0,2.0,,,,,,
